Block size,Time(s.)
1,110.456612
6,35.315304
10,13.958959
15,10.657195
20,7.522875
24,6.435914
30,6.549453
36,8.468517
40,7.308415
60,7.159445
72,7.874262
80,7.151051
96,7.925712
120,7.388994
144,14.278942
160,9.045160
180,7.536464
240,7.888876
360,9.044335
480,13.133229
720,17.570280
