Block size,Time(s.)
1,153.765645
6,37.413784
10,13.869461
15,10.586169
20,9.529873
24,9.550054
30,10.159278
36,11.133648
40,10.934171
60,10.841087
72,11.722262
80,12.206232
96,13.178136
120,14.310123
144,14.107576
160,15.714155
180,15.050990
240,16.048832
360,17.371215
480,19.018062
720,27.417168
