Block size,Time(s.)
1,231.987867
6,174.017281
10,42.224908
15,41.138439
20,29.097840
24,24.415865
30,23.752019
36,25.770656
40,22.832345
60,22.474170
72,22.427479
80,21.381883
96,22.519719
120,22.294240
144,25.984131
160,43.630146
180,22.273295
240,22.582352
360,25.220854
480,28.056570
720,36.333757
