Block size,Time(s.)
1,332.127656
6,48.359099
10,26.565365
15,22.022475
20,20.960411
24,20.444608
30,20.177474
36,20.378019
40,20.512698
60,20.353253
72,20.339296
80,20.806369
96,20.766157
120,21.897132
144,21.036348
160,21.517218
180,21.255519
240,22.181406
360,22.507830
480,23.407315
720,26.763180
