Block size,Time(s.)
1,269.626489
6,34.355377
10,14.727731
15,11.679313
20,11.043684
24,10.658031
30,9.986428
36,10.131258
40,9.758847
60,9.537370
72,9.443394
80,11.567604
96,10.532331
120,9.570731
144,10.203756
160,10.314092
180,9.527469
240,10.449314
360,11.030037
480,13.640523
720,14.294082
