Block size,Time(s.)
1,454.886234
6,157.150880
10,43.009059
15,33.222102
20,29.980742
24,29.328500
30,27.089218
36,31.195648
40,33.063645
60,30.966225
72,30.983373
80,31.473946
96,28.911247
120,24.522620
144,27.668149
160,24.213195
180,23.806248
240,24.266919
360,26.156728
480,28.255323
720,29.857817
