Block size,Time(s.)
1,220.237765
6,31.620918
10,15.193278
15,12.392510
20,13.281288
24,13.245737
30,10.395261
36,12.709089
40,15.106781
60,11.766495
72,9.839107
80,10.048748
96,10.050000
120,9.711003
144,10.016275
160,10.468621
180,9.646459
240,9.842595
360,10.742914
480,14.916374
720,17.155100
