Block size,Time(s.)
1,358.434445
6,50.762387
10,27.909261
15,22.754863
20,21.366558
24,20.842824
30,20.617403
36,20.913127
40,20.862477
60,20.617234
72,20.556215
80,20.592213
96,20.665527
120,20.730457
144,20.903394
160,20.900018
180,21.057023
240,21.456994
360,22.920140
480,23.505340
720,32.511018
