Block size,Time(s.)
1,470.453455
6,84.379909
10,38.967709
15,28.367853
20,25.043145
24,24.231040
30,25.181324
36,24.959212
40,24.709031
60,23.930684
72,23.847333
80,23.801502
96,23.742679
120,23.678186
144,23.939029
160,24.552555
180,24.379264
240,26.608694
360,27.875177
480,30.973592
720,33.384369
