Block size,Time(s.)
1,134.756712
6,36.595528
10,13.756491
15,10.170018
20,9.813200
24,9.032102
30,9.877923
36,10.153554
40,10.607203
60,10.650383
72,11.229283
80,11.677196
96,12.476510
120,13.308451
144,13.884490
160,14.280636
180,14.979466
240,15.789898
360,16.710517
480,19.905112
720,19.412398
