Block size,Time(s.)
1,197.876012
6,124.672185
10,51.940139
15,30.204775
20,24.617788
24,24.727329
30,24.725339
36,23.336052
40,22.750526
60,22.198148
72,21.633188
80,21.577225
96,21.502000
120,21.441909
144,21.570715
160,21.947621
180,21.997945
240,22.218067
360,25.057083
480,28.165739
720,30.238566
